id,name,grade
1,Morteza,15.1
2,Pouneh,11.93
3,Neda,8.74
4,Grace,16.47
5,Arash,6.61
6,Behzad,8.98
7,Afshin,15.28
8,Jack,6.54
9,Goli,7.6
10,Vahid,3.57
11,Ladan,13.85
12,Mojtaba,1.26
13,Setareh,4.78
14,Navid,14.08
15,Liam,13.09
16,Kate,12.31
17,Setareh,19.95
18,Shahram,15.26
19,Shervin,10.91
20,Fatemeh,15.67
21,Sahar,12.9
22,Younes,4.17
23,Maryam,5.55
24,Yalda,6.89
25,Hassan,19.63
26,Kate,2.29
27,Elaheh,7.81
28,Ladan,14.26
29,Grace,5.27
30,Helen,15.84
31,Azar,9.87
32,Pouneh,6.42
33,Vahid,10.38
34,Oscar,16.36
35,Mona,6.91
36,Sohrab,19.62
37,Dorsa,0.02
38,Farzaneh,14.8
39,Shayan,8.33
40,Dariush,4.37
41,Shahab,15.97
42,Negin,17.46
43,Soraya,0.24
44,Fariba,11.05
45,Reza,15.64
46,Taraneh,12.2
47,Navid,5.67
48,Elaheh,2.34
49,Charlie,14.14
50,Kiana,13.51
51,Bob,2.09
52,Shiva,0.87
53,Negin,9.4
54,Kaveh,8.48
55,Pouneh,18.71
56,Quinn,3.9
57,Farzaneh,16.9
58,Kate,9.81
59,Milad,17.39
60,Grace,11.55
61,Paul,3.19
62,Ziba,10.49
63,Neda,8.18
64,Elham,5.54
65,Neda,1.47
66,Fariba,0.62
67,Goli,10.0
68,Taraneh,0.22
69,Jack,7.21
70,Fariba,0.45
71,Taraneh,13.26
72,Helen,19.88
73,Azadeh,8.87
74,Hossein,10.83
75,Frank,17.68
76,Mohammad,11.57
77,Shiva,4.27
78,Bahram,1.81
79,Sahar,8.74
80,Fereshte,14.88
81,Liam,6.32
82,Milad,3.64
83,Sina,11.98
84,Maryam,8.56
85,Younes,2.74
86,Keyvan,0.73
87,Zahra,4.75
88,Rasoul,15.68
89,Reza,7.21
90,Goli,12.14
91,Mojtaba,12.55
92,Mina,0.19
93,Sara,16.82
94,Fariba,7.17
95,Zahra,9.95
96,Fereshte,8.07
97,Ladan,17.36
98,Ladan,4.3
99,Morteza,7.31
100,Tina,14.72
101,Nina,16.27
102,Katayoun,17.8
103,Mona,4.81
104,Hamid,8.09
105,Hossein,4.36
106,Yalda,12.83
107,Behzad,8.31
108,Sahar,5.63
109,Golnaz,1.38
110,Javad,7.25
111,Mona,3.36
112,Nader,15.29
113,Neda,1.13
114,Shirin,12.94
115,Arman,4.82
116,Bob,5.75
117,Golnaz,0.5
118,Neda,19.99
119,Bahareh,5.81
120,Younes,17.4
121,Rasoul,14.78
122,Younes,2.57
123,Shervin,8.01
124,Parsa,19.37
125,Goli,6.96
126,Kaveh,0.2
127,Homa,19.83
128,Mona,4.38
129,Shayan,15.95
130,Katayoun,2.98
131,Shirin,1.67
132,Elham,5.45
133,Jack,8.82
134,Yasaman,1.7
135,Ghazal,19.72
136,Mandana,5.16
137,Behzad,11.88
138,Fariba,9.41
139,David,12.04
140,Mandana,0.27
