id,name,grade
1,Katayoun,15.6
2,Hamid,8.58
3,Amir,6.74
4,Simin,12.31
5,Yasaman,7.4
6,Mahdi,3.59
7,Elaheh,8.41
8,Atiyeh,3.57
9,Pegah,12.27
10,Bahareh,5.25
11,Bahareh,0.67
12,Ghazal,7.25
13,Kiana,14.92
14,Golnaz,16.51
15,Mohsen,17.24
16,Azadeh,3.3
17,Neda,8.97
18,Bahareh,10.49
19,Grace,1.13
20,Arman,3.47
21,Setareh,13.65
22,Farhad,5.0
23,Oscar,6.16
24,Babak,5.02
25,Nina,1.64
26,Nader,2.85
27,Rose,11.26
28,Hamid,9.26
29,Siavash,8.01
30,Anahita,19.8
31,Ali,14.26
32,Shiva,0.29
33,Vahid,0.83
34,Shayan,7.8
35,Farhad,7.08
36,Behzad,13.91
37,Maryam,3.78
38,Shahrzad,8.21
39,Soraya,16.32
40,Elaheh,6.72
41,Mandana,6.79
42,Mehrdad,19.87
43,Goli,19.11
44,Paul,14.15
45,David,11.87
46,Goli,9.29
47,Masoud,5.41
48,Bahareh,3.63
49,Kiana,16.86
50,Soraya,6.31
51,Shabnam,12.34
52,Kate,9.62
53,Rose,11.71
54,Mina,7.02
55,Nader,13.75
56,Behnam,15.65
57,Reza,16.06
58,Afshin,13.45
59,Ivy,9.33
60,Ziba,11.41
61,Arash,16.06
62,Anahita,14.42
63,Younes,16.66
64,Shadi,7.86
65,Alireza,10.14
66,Mehdi,5.52
67,Keyvan,6.28
68,Helen,6.31
69,Fariba,18.0
70,Behnam,0.28
71,Rose,18.44
72,Sina,7.8
73,Shahab,2.44
74,David,0.97
75,Kaveh,6.39
76,Sahar,0.92
77,Alice,11.97
78,Charlie,9.94
79,Elham,10.1
80,Shahrzad,16.07
81,Ziba,9.91
82,Steve,16.51
83,Atiyeh,0.53
84,Farshid,0.93
85,Shahab,18.55
86,Kaveh,6.37
87,Nina,1.03
88,Elnaz,11.69
89,Fariba,11.82
90,Jack,10.43
91,Mandana,19.8
92,Mojtaba,6.17
93,Maryam,17.14
94,Kaveh,17.23
95,Elham,11.89
96,Fatemeh,4.48
97,Elham,9.32
98,Nasrin,11.11
99,Nasim,7.2
100,Fariba,19.11
101,Ghazal,7.09
102,Simin,1.61
103,Mojtaba,4.6
104,Narges,11.55
105,Nina,19.41
106,Tina,1.87
107,Nasim,17.94
108,Rose,3.41
109,Babak,1.44
110,Quinn,9.3
111,Arman,16.08
112,Elaheh,16.36
113,Parsa,19.45
114,Behnam,4.0
115,Reza,11.39
116,Shayan,17.22
117,Eva,4.73
118,David,14.21
119,Dorsa,18.05
120,Farzaneh,8.32
121,Zahra,8.28
122,Frank,19.37
123,Nasim,16.46
124,Sara,17.84
125,Bahareh,1.91
126,Shabnam,1.48
127,David,18.94
128,Shabnam,10.59
129,Helen,5.06
130,Grace,14.0
131,Maryam,13.48
132,Yasaman,12.32
133,Homa,17.21
134,Dariush,13.77
135,Mona,15.33
136,Hamid,1.28
137,Farhad,14.11
138,Babak,0.08
139,Setareh,4.65
140,Alireza,16.41
141,Homa,1.28
142,Fariba,9.26
143,Ladan,6.96
144,Younes,19.87
145,Liam,14.4
146,Masoud,6.82
147,Afshin,0.75
148,Keyvan,17.04
149,Yalda,1.49
150,Homa,9.59
151,Fereshte,18.04
152,Mohsen,2.6
153,Bahareh,10.74
154,Ghazal,5.3
155,Mojtaba,1.71
156,Shahab,9.73
157,Bahram,16.07
158,Siavash,13.25
159,Shervin,18.99
160,Alice,13.12
161,Zahra,9.13
162,Arash,4.24
163,Sina,19.93
164,Bahram,13.91
165,Sepideh,8.63
166,Mohammad,0.4
167,Anahita,12.28
168,Keyvan,6.94
169,Sahar,17.91
170,Oscar,14.45
171,Frank,11.8
172,Nader,12.72
173,Elaheh,5.97
174,Javad,13.47
175,Nasrin,3.84
176,Nasim,16.56
177,Afshin,4.56
178,Neda,18.41
179,Vanda,19.07
180,Navid,3.31
181,Navid,7.43
182,Shayan,18.08
183,Keyvan,17.38
184,Nina,14.59
185,Roya,16.58
186,Javad,12.7
187,Jack,3.31
188,Vahid,15.69
189,Shabnam,14.49
190,Rose,12.67
191,Hamid,17.65
192,Nina,13.35
193,Sepideh,19.87
194,Dorsa,8.19
195,Younes,13.58
196,Sohrab,17.88
197,Yalda,0.62
198,Mandana,7.31
199,Narges,4.94
200,Neda,10.95
201,Shabnam,14.87
202,Shahram,18.87
203,Bahram,17.03
204,Pouya,5.53
205,Bahram,19.61
206,Sina,18.47
207,Mona,3.04
208,Masoud,7.47
209,Ziba,14.77
210,Farshid,4.57
211,Sepideh,17.62
212,Sina,9.01
213,Mojtaba,0.75
214,Tina,6.6
215,Atiyeh,14.99
216,Farzaneh,6.37
217,David,8.97
218,Mehrdad,17.3
219,Alireza,6.46
220,Shervin,3.94
221,Kiana,9.18
222,Fereshteh,15.23
223,Shadi,0.87
224,Arash,19.21
225,Vanda,3.34
226,Kate,2.13
227,Kiana,1.51
228,Arash,9.54
229,Siavash,0.02
230,Sina,10.34
231,Mahdi,5.07
232,Golnaz,11.97
233,Reza,4.95
234,Shahram,19.24
235,Kamran,2.54
236,Shirin,2.47
237,Pouneh,3.89
238,Ladan,10.35
239,Dariush,19.83
240,Milad,18.63
241,Morteza,0.88
242,Alice,16.96
243,Leila,2.56
244,Nasrin,16.23
245,Golnaz,13.24
246,Amir,13.71
247,Ali,17.66
248,Mehdi,12.15
249,Steve,4.95
250,Nasim,13.59
251,Bahram,9.11
252,Alice,2.23
253,Ghazal,13.6
254,Siavash,15.09
255,Taraneh,9.38
256,Yalda,12.59
257,Mandana,14.11
258,Elham,19.54
259,Farshid,2.77
260,Mohammad,6.08
261,Kate,14.83
262,Siavash,1.42
263,Sohrab,8.32
264,Ghazal,6.94
265,Dorsa,8.55
266,Soraya,17.95
267,Farshid,19.37
268,Ghazal,9.33
269,Shahab,11.14
270,Leila,3.35
271,Mohammad,17.9
272,Taraneh,2.2
273,Elham,7.95
274,Masoud,11.02
275,Mohammad,6.31
276,Nina,1.38
277,Rasoul,9.34
278,Vanda,0.04
279,Atiyeh,6.38
280,Parsa,6.58
281,Dariush,17.5
282,Oscar,5.03
283,Keyvan,4.56
284,Frank,6.03
285,Arman,3.19
286,Goli,16.41
287,Shiva,0.2
288,Morteza,13.86
289,Shadi,14.19
290,Masoud,10.36
291,Mehdi,8.38
292,Kiana,9.99
293,Leila,13.62
294,Alice,13.5
295,Arman,8.06
296,Fereshteh,10.19
297,Nasrin,16.61
298,Setareh,17.64
299,Katayoun,19.71
300,Rose,16.32
301,Shervin,11.11
302,Azadeh,19.02
303,Ehsan,14.81
304,Fereshte,4.51
305,Bahareh,3.64
306,Samira,6.29
307,Afshin,15.49
308,David,16.47
309,Mandana,15.85
310,Mehrdad,1.07
311,Nader,5.97
312,Shirin,7.98
313,Farshid,6.52
314,Mehdi,18.62
315,Simin,5.34
316,Navid,5.93
317,Negin,10.24
318,Fariba,19.51
319,Shervin,5.3
320,Niloufar,0.47
321,Azar,7.74
322,Keyvan,11.62
323,Ivy,13.58
324,Goli,17.23
325,Arash,14.99
326,Shahram,7.88
327,Neda,19.84
328,Pouneh,3.54
329,Milad,4.25
330,Shadi,4.42
331,Farhad,14.58
332,Quinn,15.76
333,Kate,1.01
334,Quinn,2.14
335,Pouneh,1.41
336,Leila,11.83
337,Navid,16.03
338,Siavash,13.8
339,Alice,12.9
340,Shayan,15.31
341,Younes,19.79
342,Charlie,6.98
343,Kate,15.93
344,Simin,3.73
345,Niloufar,6.07
346,Shahrzad,1.73
347,Amir,7.01
348,Grace,6.37
349,Dariush,15.39
350,Simin,18.48
351,Javad,12.88
352,Mona,18.35
353,Shadi,15.28
354,Simin,2.37
355,Eva,11.09
356,Ivy,11.91
357,Javad,13.86
358,Fereshte,10.8
359,Maryam,4.45
360,Oscar,16.46
361,Behnam,15.88
362,Younes,6.97
363,Bahram,14.2
364,Shirin,16.11
365,David,14.78
366,Goli,0.2
367,Negin,11.71
368,Tina,13.21
369,Neda,2.43
370,Charlie,18.31
371,Shahab,11.12
372,Soraya,3.61
373,Fariba,10.17
374,Mojtaba,19.01
375,Frank,19.39
376,Mona,5.43
377,Jack,9.93
378,Shiva,9.45
379,Bob,13.62
380,Sahar,14.12
381,Bahram,9.87
382,Yalda,7.31
383,Setareh,13.11
384,Mohsen,6.06
385,Shayan,2.82
386,Yalda,13.38
387,Nader,15.33
388,Arash,17.19
389,Homa,11.53
390,Negar,6.94
391,Shirin,15.78
392,Niloufar,11.9
393,Sepideh,1.64
394,Sohrab,4.27
395,Elaheh,2.31
396,Kate,5.78
397,Nader,15.55
398,Hamid,14.22
399,Fereshteh,14.67
400,Pegah,9.21
401,Taraneh,0.73
402,Simin,4.77
403,Vahid,5.54
404,Simin,5.79
405,Yalda,1.15
406,Ladan,19.44
407,Shahab,1.97
408,Shadi,18.87
409,Narges,0.68
410,Hossein,3.4
411,Sohrab,8.05
412,Alice,9.19
413,Kiana,17.11
414,Younes,10.44
415,Parvin,17.25
416,Behzad,2.54
417,Steve,4.61
418,Narges,12.12
419,Behzad,1.78
420,Niloufar,13.05
421,Yalda,9.47
422,Mona,3.49
423,Mahdi,18.97
424,Setareh,15.83
425,Navid,2.79
426,Farhad,5.21
