id,name,grade
1,Nasrin,15.59
2,Katayoun,13.82
3,Sina,10.57
4,Yalda,1.18
5,Shahab,19.29
6,Behzad,9.52
7,Atiyeh,7.75
8,Helen,18.02
9,Fatemeh,8.32
10,Dorsa,17.58
11,Azadeh,13.9
12,Fariba,13.92
13,Ziba,19.08
14,Shayan,15.56
15,Alice,17.67
16,Farzaneh,17.52
17,Maryam,17.73
18,Setareh,1.93
19,Bahram,10.03
20,Frank,2.96
21,Leila,2.94
22,Charlie,18.56
23,Ziba,7.55
24,Zahra,1.61
25,Rasoul,7.58
26,Samira,14.34
27,Fatemeh,4.46
28,Ziba,11.32
29,Ramin,17.26
30,Maryam,7.63
31,Neda,12.86
32,Fereshteh,14.32
33,Elnaz,2.3
34,Elaheh,12.08
35,Quinn,1.67
36,Zahra,16.48
37,Siavash,18.4
38,Kamran,3.53
39,Hassan,2.46
40,Bahareh,3.83
41,Fereshte,13.15
42,Liam,16.64
43,Farshid,14.67
44,Javad,11.9
45,Yalda,5.62
46,Ziba,19.22
47,Goli,7.77
48,Dariush,10.02
49,Ghazal,10.62
50,Nina,19.98
51,Rasoul,7.19
52,Vahid,15.67
53,Golnaz,4.29
54,Eva,11.52
55,Reza,0.11
56,Zahra,14.34
57,Ghazal,17.66
58,Setareh,10.84
59,Niloufar,15.82
60,Fereshteh,19.04
61,Atiyeh,12.91
62,Arman,14.68
63,Bahram,8.72
64,Azar,4.49
65,Ziba,13.97
66,Mohammad,12.77
67,Negar,4.24
68,Maryam,13.38
69,Goli,18.92
70,Bahram,13.3
71,Morteza,4.57
72,Dariush,8.68
73,Sara,1.83
74,Katayoun,16.29
75,Shahab,6.96
76,David,9.71
77,Bahareh,10.18
78,Morteza,1.42
79,Nasim,18.97
80,Parsa,13.53
81,Hamid,14.21
82,Nina,3.06
83,Elnaz,16.94
84,Helen,19.6
85,Vahid,5.72
86,Farshid,5.77
87,Shahram,19.41
88,Niloufar,3.15
89,Yasaman,5.93
90,Charlie,5.3
91,Paul,14.07
92,Ali,14.78
93,Bahareh,10.49
94,Taraneh,10.19
95,Steve,17.62
96,Pouya,14.26
97,Katayoun,6.74
98,Nader,3.52
99,Eva,14.6
100,Roya,6.34
101,Rose,11.77
102,Bob,2.67
103,Parvin,10.99
104,Ivy,19.54
105,Shiva,11.25
106,Tina,1.3
107,Elnaz,17.0
108,Amir,12.29
109,Pouya,4.43
110,Younes,12.81
111,Arash,1.24
112,Taraneh,18.17
113,Nasrin,19.15
114,Shadi,7.71
115,Keyvan,9.16
116,Fereshteh,18.62
117,Nina,12.9
118,Siavash,11.89
119,Neda,18.45
120,Nasim,10.37
121,Farshid,2.98
122,Pouneh,0.74
123,Frank,12.98
124,Dariush,17.37
125,Niloufar,13.37
126,Babak,1.37
127,Sina,7.71
128,Parvin,12.22
129,Farhad,0.74
130,Leila,11.99
131,Fariba,3.69
132,Vahid,16.97
133,Nasim,19.65
134,Milad,3.1
135,Babak,7.94
136,Maryam,6.28
137,Sohrab,11.34
138,Morteza,18.31
139,Keyvan,1.01
140,Taraneh,4.64
141,Fereshte,9.05
142,Pegah,15.55
143,Kate,3.97
144,Jack,11.96
145,Shirin,1.91
146,Pegah,18.61
147,Shahram,14.38
148,Hossein,16.92
149,Younes,1.85
150,Setareh,14.0
151,Parvin,13.0
152,Farhad,19.04
153,Kamran,13.77
154,Ivy,2.81
155,Amir,9.55
156,Javad,4.93
157,Leila,12.79
158,Farzaneh,8.17
159,Helen,9.85
160,Homa,18.77
161,Negar,4.28
162,Grace,15.01
163,Setareh,12.84
164,Oscar,1.37
165,Zahra,18.71
166,Alireza,18.17
167,Tina,18.14
168,Bob,9.85
169,Shahab,7.88
170,Parsa,17.32
171,Soraya,19.78
172,Parvin,17.25
173,Arash,19.31
174,Shervin,7.18
175,Zahra,3.92
176,Javad,1.5
177,Negin,14.31
178,Helen,3.11
179,Setareh,16.74
180,Neda,14.01
181,Frank,3.26
182,Liam,17.12
183,Shahrzad,13.61
184,Leila,1.43
185,Mojtaba,3.08
186,Grace,18.23
187,Vanda,13.94
188,Ladan,5.61
189,Alice,8.74
190,Ali,19.43
191,Mandana,5.87
192,Ivy,14.88
193,Afshin,8.38
194,Sara,15.74
195,Grace,19.0
196,Paul,8.43
197,Reza,17.98
198,Jack,12.76
199,Mohsen,2.38
200,Samira,14.27
201,Farzaneh,16.74
202,Mina,9.81
203,Eva,3.47
204,Babak,8.9
205,Anahita,10.07
206,Ali,7.55
207,Ali,9.14
208,Leila,13.83
209,Samira,11.94
210,Alice,19.23
211,Mehdi,4.6
212,Quinn,12.35
213,Atiyeh,16.65
214,Fariba,16.41
215,Azar,14.56
